ta,tr,rh,vel_r,vel,clo_d,clo,activity_60,age,gender,thermal_sensation,pmv,thermal_comfort,ppd
fan,window,door,heater,t_out,rh_out,t_out_isd,rh_out_isd,set,pmv,ppd,pmv_ce,ppd_ce,t_mot_isd
,,,,15.525,60.455,15.320833333333333,44.57677163107456,24.2,-0.44,9,-0.45,9.2,12.4
,,,,15.525,60.455,15.320833333333333,44.57677163107456,24.2,-0.31,7,-0.31,7,12.4
,,,,15.525,60.455,15.320833333333333,44.57677163107456,26,0.04,5,-0.11,5.3,12.4
,,,,8.242,88.75,10.558333333333334,56.93699890290394,25.9,0.18,5.6,0.14,5.4,12.5
,,,,8.242,88.75,10.558333333333334,56.93699890290394,29.8,0.71,15.6,0.53,10.8,12.5
,,,,8.242,88.75,10.558333333333334,56.93699890290394,25.9,0.18,5.7,0.18,5.7,12.5
,,,,8.242,88.75,10.558333333333334,56.93699890290394,23.1,-0.47,9.7,-0.44,9.1,12.5
,,,,8.242,88.75,10.558333333333334,56.93699890290394,,0.03,5,,,12.5
,,,,8.242,88.75,10.558333333333334,56.93699890290394,24,-0.36,7.7,-0.36,7.7,12.5
,,,,8.242,88.75,10.558333333333334,56.93699890290394,27,0.37,7.9,0.37,7.9,12.5
,,,,8.242,88.75,10.558333333333334,56.93699890290394,27.9,0.57,11.8,0.57,11.8,12.5
,,,,8.242,88.75,10.558333333333334,56.93699890290394,25.6,0.1,5.2,0.1,5.2,12.5
,,,,10.4915,63.785,10.64375,46.34069440988672,24.6,-0.09,5.2,-0.09,5.2,11.5
,,,,10.4915,63.785,10.64375,46.34069440988672,,-1.36,43.5,,,11.5
,,,,10.4915,63.785,10.64375,46.34069440988672,24.6,-0.17,5.6,-0.12,5.3,11.5
,,,,10.4915,63.785,10.64375,46.34069440988672,,-0.68,14.7,,,11.5
,,,,10.4915,63.785,10.64375,46.34069440988672,24.2,-0.27,6.6,-0.17,5.6,11.5
,,,,10.4915,63.785,10.64375,46.34069440988672,23.2,-0.55,11.2,-0.55,11.2,11.5
,,,,10.4915,63.785,10.64375,46.34069440988672,26.4,0.14,5.4,0.14,5.4,11.5
,,,,6.792,83.27,10.404166666666669,55.593620542178975,24.7,-0.25,6.3,-0.25,6.3,11.2
,,,,6.792,83.27,10.404166666666669,55.593620542178975,,-1.13,31.9,,,11.2
,,,,6.792,83.27,10.404166666666669,55.593620542178975,,-0.45,9.2,,,11.2
